helpful,name,postDate,reviewBody,reviewTitle,starRating,verifiedPurchase
231 people found this helpful,Andy,"Reviewed in the United States on November 22, 2015","I bought this lens for my Sony A6000 with a Sigma 30mm E-mount lens. I always use a UV filter for protecting my lens, as I travel extensively with my camera. During the daytime, the UV filter works well and provides no noticeable degradation of image quality. However, at night this ghosts like CRAZY. I was thinking there was something wrong with my lens initially, but then decided to take the filter off while shooting. I've attached the photos.",Extensive ghosting issues,2.0 out of 5 stars,Verified Purchase
56 people found this helpful,DJ,"Reviewed in the United States on October 9, 2017","After a week of tripod and handheld testing under various outdoor light conditions, I've reached the conclusion that this filter is causing a serious reduction in the sharpness and quality of the images recorded with my Canon camera and lens. When I initiated action to return it, Amazon just refunded my money and didn't require an actual return.",Using this filter had a negative effect on image quality with my camera/lens combo,1.0 out of 5 stars,Verified Purchase
31 people found this helpful,S. Hyatt,"Reviewed in the United States on June 16, 2018","This was sent to me twice: The first time I received an empty case and the second one appeared to be a returned item, as surely no company would sell such a filthy item. There was so much particulate matter on both sides of the filter that I was dumbfounded. I had also ordered an Amazon Basic UV filter for a larger lens so that I could compare them in action. The Amazon Basic looked like it came from a ""clean room"" - as well it should. I was pleased at how flawless it was. I opened the Tiffen moments later, and was shocked and truly disappointed. I got to work with my cleaning kit and after several minutes was so disgusted (it actually looked as if the dust was embedded in the lens), I simply returned it. So here's my thoughts on these filters: The case was not sealed, so the filter could easily fall out and become lost or dirty. I realize this is a very inexpensive item, but companies depend on customer loyalty. You can probably guess where my loyalties lie.",Poor quality control: you get what you pay for?,1.0 out of 5 stars,Verified Purchase
33 people found this helpful,Help Desk Mama,"Reviewed in the United States on September 4, 2017","I've seen a lot of mixed reviews about this piece. This review is based on my usage of the piece with my Canon70D and 28-135mm lens:I purchased the 72mm piece to go on the lens I use the most, my wide angle 28-135mm IS lens from Canon. I always have the lens cap on when I'm not using my lens and when I'm using it, I always have the petal on it. This filter screws perfectly on the lens. In addition to the filter I can also use my petal and the lens cap if needed!! Big plus!I haven't noticed any ""ghosting"" effects like some users have reported. I've taken photos in the early morning, mid-day, and at dusk. Still no ghosting effects when using the filter.The filter is solid and has some weight to it. I feel as though its of high quality. The weight of the glass has no impact on shooting.You can't beat the price for the quality you get!",Great Lens Protection!,5.0 out of 5 stars,Verified Purchase
37 people found this helpful,Amazon Junkie,"Reviewed in the United States on January 28, 2016","The idea that these are used as ""UV filters"" is outdated. That was the case with film, adding this filter increased clarity by filtering some wavelengths found in haze and glare that were enhanced by film, but that is apparently not an issue with digital. These are really protection for the front element of your lens, but that comes at a cost. Every piece of glass you make the light pass through degrades the image to some degree.I own a few of these, I use them on lenses attached to my digital SLRs when I'm walking around doing tourist stuff and taking snapshots, the benefit of protection out in the world outweighs any image degradation for me. For inside/ studio use, these come off. I also use them on my Mamiya RZ lenses for shooting film outside for the haze filtering abilities stated above. All of my Mamiya lenses have a 77mm thread on the front so it is very convenient.","Generally for protection, not UV filtering.  Well made good quality glass.",4.0 out of 5 stars,Verified Purchase
15 people found this helpful,Olena,"Reviewed in the United States on January 2, 2018","After a month of using the filter, it became disappoint me at every moment. I noticed rattling while taking it off my 24-70mm lens, and then I realized that the glass does not stay firmly and became too lose inside of the frame... I used many different filters like B+W and Hoya and this time I decided to try Tiffen because of the small price, which is ~$18, and so many good reviews about it! I thought it should be a good deal. In addition it is difficult to clean it, I still can't get rid of some streaks around the glass, which affects my photos. If there is any suggestions how to return it I would really appreciate it, because I have it a little more than a month I can't return it through Amazon.Update 2/23/218.A weak ago I contacted Tiffen Customer Support by email. They thanked me for being Tiffen customer and sent me the instruction how to fix it:""On the filter retention ring are two notches opposite of each other, think 6 and 12 o’clock. If you insert a two point compass, or something similar into these rings and twist, you can tighten the retention ring to lock the glass down. Its best to insert the two point compass, then spin the entire filter to loosen rather than rotating the two point compass. See the diagram below: (look at the picture attached)""What? Really! ... I explained that this is too complecated for me and asked if I can return the filter. Today, is the 8th day I am waiting for their answer...","The glass became to rattle, and it separates from the frame :(",1.0 out of 5 stars,Verified Purchase
One person found this helpful,Jay Pinks,"Reviewed in the United States on March 23, 2019","I do not use these for the UV filter but as a good quality, low cost lens protector. That said:My 1st Tiffen was a 55mm UV Protector I got for the kit lens that came with a Sony a7ii; an FE 28-70. I was so happy with the purchase that I have since purchased three additional Tiffen UV Protection Filters. One is on a Sony E 55-210 I bought used and one is on a Samyang 35mm I bought new. The one I am writing this review for I assume is still on the Sony FE 50mm I bought new but returned and forgot to remove the filter.The point? I treat my lenses, new or used, like I treat a cell phone. That being the phone stays in the box until I have a protective case for them and lenses stay in the box until I have a protective filter to pair them with. And the one I forgot to remove from the returned lens? That is how confident in the Tiffen filters I am. Once I put one on a lens, I never need to think about it again.I have used several brands in several sizes ranging from the cheaper Altura and Polaroid to the mid range Hoya and B & W.Where does Tiffen fit? Well they are no Hoya or B & W but I am no professional photographer. I am an amateur who mostly enjoys street photography when I travel and for my money Tiffen is the best. Yes, you can spend more and get better glass and if you really have reason to worry about ghosting you should look for a higher end lens. That isn't me saying ghosting has been a problem for me. I normally use a lens hood and I think that helps cut down on light reflection. I have noticed some minor issues with it on some shots I have taken in direct bright light conditions but not enough to justify the higher price.I do not stack filters as I haven't had a need to so I can not give an opinion on that topic. I would assume that the risk of ghosting would increase.The short version is this. The Tiffen UV Protection Filter is well made with good quality glass and a metal ring with threading I do not worry will cross thread or strip. They do what I need by protecting my lens. If I was buying a ND or polarizers I might buy a more costly brand but for everyday protection, Tiffen is all I need and the best for my money.Tiffen say it best in their own product description; A small price to pay to protect your investment.",Low Price for Peace of Mind,4.0 out of 5 stars,Verified Purchase
4 people found this helpful,J. Anderson,"Reviewed in the United States on January 10, 2018","After learning more about photography, I’ve come to the conclusion that UV filters are unnecessary and potentially hurt your photos with added chance of lens flare, especially if you plan on stacking a polarizer or ND on top of it. Unless you expect mud or sand flying at your lens, you don’t need to put a $10 piece of glass in front of a lens costing hundreds or thousands of dollars, for the same reason you avoid taking photos through your windshield. If you want accidental impact protection, get a lens hood.That said, I can’t complain about the quality. The build is as expected, thin aluminum with good threads. The glass is flawless, and I haven’t noticed any added vignettes or aberrations. Tiffen makes a quality product. I bought their CPL and variable ND after a great deal of research, and I couldn’t be happier.The first filter I received had a minor scratch near an edge and small flecks embedded in the glass. I requested a return and was quickly shipped a replacement, and they let me just throw the other filter away.",Good quality but unnecessary,5.0 out of 5 stars,Verified Purchase
11 people found this helpful,JTR,"Reviewed in the United States on September 21, 2016","Great UV Filter for the price. USA made by a trusted company! Simple piece of mind to protect your lens from scratches or in the even of a drop. Not to mention the UV filtering benefit.Used this one on my Wifes (old but still awesome) Canon EF 70-210mm f/4 ""Push Pull"" lens.We have had none of the glare or ghosting problems that other people have reported with this filter. Even when we tried to take photos of lightbulbs like some other the reviewers photos...If you found anything helpful in this review, I would appreciate you taking the time to click so below! Thanks!",Simple piece of mind to protect your lens.,5.0 out of 5 stars,Verified Purchase
6 people found this helpful,J.W.,"Reviewed in the United States on March 1, 2017",We frequently use our cameras outdoors and in rain and dusty conditions. We also do a lot of pet photography (they always seem to want to put their wet nose on the camera lens). This will protect the front of your lens from these situations as well as from scratches or cracks due to bumping the front of the lens. Same thing with babies or kids touching the front of the lens. It is a lot easier and safer to clean or replace the protection filter than an expensive lens. Typical excellent Tiffen quality.,Excellent construction and fit,5.0 out of 5 stars,Verified Purchase
