postDate,helpful,reviewBody,starRating,verifiedPurchase,reviewTitle,name
"Reviewed in the United States on August 14, 2017",56 people found this helpful,"Disappointed. I'd never suspect Crucial of such weak performance. I installed this 8GB module in my new HP 14-an013nr notebook PC to replace the existing Samsung 4GB module. Performance was as expected until a sudden failure while in sleep mode overnight. The PC did not return from sleep. Hard reboot showed no POST -- no display at all. Replacing the Crucial memory module with the original Samsung module fixed the problem. Installed the Crucial module in an ACER AO756, producing the same result -- hard boot showed no POST or any indication of display activation or ROM initiation. Replacing the original 4GB module in the Acer corrected that failure also.I could not find that this memory has any warranty at all, so I'm disappointed. And out $60. Any ideas?!",1.0 out of 5 stars,Verified Purchase,Failed in <3 months,Essais
"Reviewed in the United States on August 30, 2016",84 people found this helpful,"OMG. Best purchase I've EVERRRRR MADE. I have the 2012 Macbook Pro (without Retina, obviously)- the 13 inch version. I did a lot of research before buying this one. If your mac is SLOW, TRY THIS!!!! I would recommend the 8gb if you aren't a gamer. I got accepted into a Bachelor's Degree program (Nursing) and my mac isn't even a year old- it was really angering me how it would constantly freeze up. I knew if I didn't do something fast, I would be ripping my hair out in class just to keep up with powerpoints and everything else. The computer at 4gb memory was enough to make my life a living hell. A lot of times I wouldn't even crack it open to use because I DREADED dealing with how slow it would get. I did multiple factory resets and erased everything, started from scratch. I even added CleanMyMac3 app which helped a wee-bit, but some things are just unavoidable. Still, every 5 minutes or so, my 4gb memory got maxed out. It was ANNOYING. So I took the plunge and ordered this Crucial 8GB kit and I have the BIGGEST regret: NOT ORDERING IT A LONG TIME AGO! It's a plug-n-play kind of thing for me. Literally all I did was unscrew the screws from my housing case and popped the case off the back of my mac and easily spotted the old RAM cards. I popped those out and added the new 8GB cards. There's youtube videos on how to upgrade your RAM in Mac. Easy stuff! Just make sure you wash your hands and you use a phillips head screw driver that fits the screws on the outer part of the case. You shouldn't have to unscrew anything inside the mac as far as I'm aware of- not in my Mac version anyway. I'm a lady and technology isn't even my thing. If I can do it, you can do. Oh, after you wash and dry your hands to remove skin oils, touch a real metal surface to discharge any static electricity before you do the work on your mac so you don't short anything out. Also make sure your mac is TURNED COMPLETELY OFF and the charger is removed from it! Good stuff. Can't go wrong with this one! My mac experience is crazy fast now. WOAH! Also would like to point out that my Mac is compatible with DDR3 Ram, but it accepted this DDR3L version like it didn't know any difference so you should be fine! :)",5.0 out of 5 stars,Verified Purchase,PERFECT FOR MacBook Pro 2012 13' NON-RETINA DDR3.,Ali & Zahra
"Reviewed in the United States on January 30, 2014",606 people found this helpful,"I purchased the Crucial CT2K8G3S160BM 2x8GB to increase the memory in my Lenovo Y410P laptop from 8-GB to 16-GB. My Y410P has two memory slots, and one slot was already occupied by a factory-installed Samsung M471B1G73QH0-YK0 8-GB memory card. I probably could have just added another 8-GB card. But to avoid any possible memory glitches, I prefer not to mix-and-match memory cards of different types. The existing Samsung memory was PC3L/DDR3L, with the 'L' signifying that it is low-voltage 1.35V memory, whereas the standard PC3/DDR3 memory uses a higher voltage of 1.50V. You should not combine memory of different voltages or use memory with incorrect voltage since your laptop may not even boot up. To further maximize compatibility with my laptop, since it came equipped with CL11 1600-MHz memory, I likewise wanted to stick with CL11 CAS Latency speed, instead of going for memory with a faster (lower) CL rating. Some CL9 memory cards have faster specifications, but I really think that most people will not notice 2-nanoseconds of extra latency. So I ordered this CL11 1600-MHz memory because I wanted to exactly match the specifications of my laptop's original 8-GB memory card to ensure compatibility since using mismatched memory can cause system instability. And this memory has been working flawlessly in my laptop!In real-world applications benchmarks, there is barely any difference between using CL11 memory and using some fancier CL9 memory, and the unnoticeable speed difference is not worth paying extra money for more-expensive models of CL9 or faster memory. With most applications, if you compare CL7, CL9, and CL11 application benchmarks, the differences mostly amount to 2% to 4% differences in benchmark timings. Along with the CL listing, another important memory performance indicator is bandwidth, and this Crucial memory's DDR3 1600MHz has a very good maximum bandwidth of 12800MB/s. But what does this mean in real-world performance terms? Relatively little. As long as you have enough memory to hold the applications that you are running without paging, RAM speed is only very rarely a performance bottleneck. Even with quad-core CPUs, the bottleneck is more likely still going to be the CPU . The reason for this is that the CPU's branch prediction algorithms are so accurate that, in the vast majority of circumstances, the data is already in the cache when the CPU needs it. So direct calls to RAM are quite rare. The branch predictor is like the CPU's personal assistant; it guesses what piece of information the boss needs next and makes sure it is already on his desk by the time he needs it. Occasionally, the assistant will get it wrong and the boss will have to forage around and find the information himself. In CPU terms, ""foraging around"" means retrieving the information from RAM, or (worst case scenario) disk, while if it is ""on the boss' desk"", that is equivalent to it being in the CPU's cache. And if your computer is equipped with an SSD using Intel's ""Smart Response Technology"" or if your computer uses SSDs instead of hard disks, it may retrieve the data from the speedy SSD instead of reading from a slower hard disk.So the days are long-gone when purchasing high-end expensive RAM actually makes a tangible difference to your computer's performance. As long as it meets the basic specifications that your chipset requires, there is not much to be gained by paying more. Some performance gains are possible from buying better RAM, but these days, most tests tend to show that such performance gains are minimal... far, far lower than you will get from adding more RAM (not necessarily faster RAM, just *more* RAM) or a faster CPU. This was not always the case. When the Pentium IV first came out thirteen years ago, it used a new type of RAM that had, at the time, very high bandwidth, but also very high latency. AMD's Athlon used traditional RAM with lower bandwidth and lower latency. Some types of applications (e.g. video and audio conversion) were very sensitive to bandwidth, but less sensitive to latency. These types of applications showed significant performance gains with the Pentium IV. Other applications (typically games and office applications) were more sensitive to latency and favored the Athlon.Overall, this Crucial memory is a great buy! Don't overspend on memory just because a brand or model of memory touts better specifications. If you are a hardcore computer gamer with a $4000 gaming laptop, you may opt for faster high-end memory to complement your top-of-the-line CPU and graphics. But most people should focus far more on how compatible that memory's specifications are for your system because the differences between CL ratings are negligible if you are considering CL rating differences of 2 or 3, while using memory that is not correctly matched or compatible with your computer can cause a variety of problems.After I removed the original Samsung 8-GB memory from my Y410P laptop and added these two Crucial SODIMM cards, I reran the Windows Experience Index benchmark and got the same WEI ""Memory operations per second"" score of 8.1 that I had with the Samsung memory. The WEI ""Processor: Calculations per second"" also remained unchanged at 8.1. This was not surprising considering that both the original Samsung memory and this Crucial memory have the same specifications.I also purchased a single 8GB card of this same Crucial memory to upgrade my HP Chromebox, which comes equipped with only 2GB in its single memory slot. There is a lot of misleading information on the Internet stating the maximum memory that you can use in the HP Chromebox is 4GB. But that is incorrect since the HP Chromebox can fully use 8GB of memory. After I upgraded my HP Chromebox, the Memory Monitor app on its Chrome OS displayed the memory capacity as 7.9GB. 2GB of memory is sufficient for a Chromebook/Chromebox if you are just browsing with a few tabs open. But if you want to open up lots of tabs and run lots of apps, or if you plan to install Linux or Windows on your Chromebook/Chromebox, then adding more memory will help with performance.Note that Crucial has two identical 16-GB 2x8GB kits with identical specifications, with each memory product having two different part numbers: CT2K8G3S160BM/CT2C8G3S160BM ",5.0 out of 5 stars,Verified Purchase,"Great upgrade for Lenovo Y410P, HP Chromebox. CT2K8G3S160BM/CT2C8G3S160BM and CT2KIT102464BF160B/CT2CP102464BF160B are identical",AmazonCustomer
"Reviewed in the United States on March 24, 2017",17 people found this helpful," , and CT2KIT102464BF160B/CT2CP102464BF160B ",5.0 out of 5 stars,Verified Purchase,4GB of RAM for the cost of lunch for two?  I'll take RAM all day long,mark hepburn
"Reviewed in the United States on September 18, 2017",14 people found this helpful,". CT2K8G3S160BM/CT2C8G3S160BM and CT2KIT102464BF160B/CT2CP102464BF160B are exactly the same memory cards, with the only difference being that the CT2K8G3S160BM/CT2C8G3S160BM product is packaged for Macs with the words ""Mac Compatible"" on the package. But all four of these part numbers are totally interchangeable because they contain identical memory cards. So if you determine that this is the right memory for your computer, just get whichever of these four Crucial part numbers is cheapest :-) I purchased the CT2K8G3S160BM/CT2C8G3S160BM on Amazon because it was $30 cheaper than the CT2KIT102464BF160B/CT2CP102464BF160B product listing at the time (of course, prices can vary each day). Both of these products are dual-voltage and can work in either 1.35V PC3L/DDR3L or 1.50V PC3/DDR3 memory slots. Both products are Mac-compatible, but they are also not Mac-specific or PC-specific, and they work equally well with PCs, Macs, and Chromebook/Chromebox.[...]. If you have questions, please ask.",4.0 out of 5 stars,Verified Purchase,Crucial 16Gb DDR3L 1600 MT/s SODIMMs - Works Great in HP Elitebook 8460/8470 Notebook PCs,Typhoon
"Reviewed in the United States on August 22, 2018",9 people found this helpful,"Bought this for my office Dell Inspiron One 2330. It's been hobbled by having only 4GB of ram (and further hobbled by supporting only 8 in total). it arrived in 2 days and was a snap to install. Essentially you remove the panel behind the stand, unscrew the 4 screws holding the stand on the back, then 4 smaller philips screws on the bottom of the display frame and pop out the frame. A small - cheap - cover over the memory slot bay pops off and you insert the new memory.The BIOS auto-recognizes the memory but if you want to be sure, at boot just press [F2] when you see the Dell logo and go into the BIOS and look. F10 to exit and boot to your OS. That's it.I'm actually running Photoshop CC, CorelDraw and other apps on this machine (but not a heavy user so can't justify a ""real"" computer), and although they take forever to load, the additional ram is certainly noticeable. If you're just running multiple apps like I do most of the day you'll see a difference too. I run a dual screen setup with Thunderbird, Chrome, Firefox, Excel, Word, and Pandora streaming all the time. Then Access about a third the time on top of this as well as some small stuff like ""stickies"" and other utilities. Overall the system is much smoother with less latency.I'm old as dirt and remember the first time I had to add 4 MEGS of ram to my 486DLC. It cost $320. So now I got 1000 times as much memory for 11% the cost. Amazing. (actually I remember my first 8088 PC with an amber monitor and twin 5.25"" floppies. No hard drive. Yikes!.So anyway, for about the cost of lunch for two at Applebee's or Chili's you can max out the ram on your computer in less than 10 minutes.Unless you have some Windows updates waiting to spring on you. Do that first. Seriously.Really. I'm not kidding. :-)",5.0 out of 5 stars,Verified Purchase,Lightening Fast!! Mid 2012 MacBook Pro,Julie
"Reviewed in the United States on March 9, 2015",265 people found this helpful,"Pros:- Drop in Memory. It just works.- Improves the WEI score to 7.6 on Windows 7 Pro OS.- Works in a HP Elitebook 8460p and 8470p Notebook computer with absolutely no problems.- Fast Shipping.- Free Shipping.Cons:- Price has gone up from under US$100 to current US$115 for the 16GB kit.I have been using these Crucial 16Gb kits to upgrade HP Elitebook Notebook computers for more than 7 years. I have tried other brands and have experienced compatibility problems with other brands. Not with Crucial. Yes, the price is a little higher than some other brands like Hynix but I know that they work. The fact that I can just drop them in and they work with no hassle is worth the 10%-15% price difference to me.I know that these work in HP Elitebook and Probook computers. I have tried them in a couple other notebook computers that use DDR3 204 pin SODIMMs that require the 1.35 volts and they worked. I believe that they also work in Macbooks that require the 1.35 volts. Check the Crucial website to determine which models are compatible with your particular PC. I can only guarantee these will work in HP Elitebook 8460 and 8470 models.",5.0 out of 5 stars,Verified Purchase,Works great in a MacBook Pro mid 2012 (non-retina),Michal Chomiczewski
"Reviewed in the United States on May 9, 2017",10 people found this helpful,"I installed 16 GB RAM in my Mid-2012 i7 2.9 ghz MacBook Pro with a 500 gb SSD (Crucial of course) and my laptop is lightening fast!! I couldn't be happier with how simple this task was and the money this saved me. My computer recognized the RAM immediately upon booting it up. It was fast with 8GB RAM, but it is just plain Snappy now!! I trust Crucial products because 1) If you need their help you can call them and speak to a live human being (and they are really nice!) 2) Their warranty on this product is Limited Lifetime and 3yrs on the SSD. And you can call them if you have questions or need help!! They are in Idaho and they are really nice people! I know this because I had questions before I purchased these items and they assured me that I purchased the correct items. Thank you Crucial, just for being there when I needed you!!",5.0 out of 5 stars,Verified Purchase,Installed in old ASUS Laptop in ten minutes,Tghu Verd
"Reviewed in the United States on October 31, 2019",3 people found this helpful,"I installed this in my wife's MacBook Pro (mid 2012; non-retina; MacBookPro 9,2) . Very easy upgrade. No issues. Memory instantaneously recognized, no need for 'option command r p'. At the same time, I upgraded the HDD to Samsung 850 EVO 500GB (http://www.amazon.com/Samsung-2-5-Inch-Internal-MZ-75E500B-AM/dp/B00OBRE5UE/ref=cm_cr_pr_product_top). With these 2 upgrades (and a fresh OS X 10.10 install) the computer is better than the day we bought it. Very highly recommended for Mac users. Another note: even though Apple claims 8GB being maximum amount of memory for this Mac, it can actually take 16 GB. I entertained that idea for a moment, but at this point 16 GB is a bit pricey. Very happy with the upgrade.",5.0 out of 5 stars,Verified Purchase,"Works in 2014 iMac 5K (i5, R9 290X config)",GIZMO MAVEN
"Reviewed in the United States on September 5, 2020",2 people found this helpful,"I have an old ASUS K52F i5 with Windows 10 PRO, came with 4GB RAM but I'd just put in an SSD so figured doubling the RAM for $50 would bring it well up to spec. The install was easy:- Unscrew 5 screws on the base with a little Phillips head screwdriver- Take the cover plate out, that needs a little force as it is tightly secured- Pull back the top RAM guides so the existing 2GB chip pops up, then pull that out- Repeat for the lower 2GB chip- Insert the new 4GB chip, needs a little force and the space is tight but they are robust so you would be doing really bad things to break them- Put the guides back- Repeat with the top 4GB chip- Turn laptop on and check it boots and works and that you have 8GB installedYes?- Place cover plate back, needs a little finessing to get all the latches in place- Screw the screws back in- Enjoy your extra working RAMNo?- Oops, that didn't happen to me but I'd check the chip seating, that's the likely cause- Try putting the old 2GB chips back in and check they still work- If that fails, sorry you are on your own, take it to the local PC shop :-)",5.0 out of 5 stars,Verified Purchase,Recommended upgrade for Synology DS216+ii,Bryan
