postDate,helpful,reviewBody,starRating,verifiedPurchase,reviewTitle,name
"Reviewed in the United States on August 6, 2018",795 people found this helpful,"I bought one at Gamestop and the left joystick stopped working after a few months. I sent it back to Nintendo under warranty thinking it was a fluke and bought another one while it was being repaired. The first one came back and worked fine but then after a few more months both failed, out of warranty. The problem seems to be the ball cover of the joystick top rubs against the round opening of the case and creates all sorts of plastic dust that gets into the joystick electronic switches and causes them to fail. I opened up the case, blew out the electronics and it worked for a little bit but then the problem came back, even though I kept the joystick top clean. I tried isopropyl alcohol to flush it, vacuumed it out and it worked afterwards for a week of heavy use but then failed again. I was quoted $25 or $29 to repair. But instead I bought a third party one and it has worked longer than the other two and continues to work. Until they fix this design flaw don't throw your money away. Shame because when it works, its smooth and responsive and has a very nice feel.",2.0 out of 5 stars,Verified Purchase,Works great until it breaks.,E. Yeh
"Reviewed in the United States on October 9, 2017",577 people found this helpful,"I keep giving Nintendo my money. I bought it as I started playing Zelda BOTW and didn't particularly like playing with the joycons attached. Hated to lay out another 70 bucks for a controller... but I did and I'm satisfied. Build quality on this is better than my Xbox, and the battery lasts seemingly forever. I love the feel of this compared to the Xbox controllers too. Damn you Nintendo... now I have 4 joycons (for mario cart), plus an extra controller, plus a charger, plus the plastic steering wheels. What will you make me buy next :).",5.0 out of 5 stars,Verified Purchase,Great controller... wish the price were a bit lower,J.B.
"Reviewed in the United States on January 10, 2018",323 people found this helpful,My left thumbstick broke with light use. The warranty is only 3 months which is not long enough for such an expensive product. The Nintendo Switch console has a 12 month warranty and so should this controller.,3.0 out of 5 stars,Verified Purchase,"Nice controller, deserves a longer warranty period",SR
"Reviewed in the United States on November 28, 2017",267 people found this helpful,"I purchased this when I ordered Super Mario Odyssey because my original Grey Joy-cons suffer from the notorious connection interference. This controller is absolutely amazing! It charges over the included USB-C cable that can be connected to one of the two front facing USB ports on the switch dock or any other USB that powers the device according to the specifications. It stays charged for a really long time especially compared to the PS4 controllers. I haven't quite expereienced the claimed ""40 hour lifespan"" that is advertised on the box but it is well over 30+ hours. If you prefer a traditional gamepad as opposed to the joycons I couldn't recommend this enough. It supports amiibo and features motion controls that can still be used in a range of games. Wonderful product!",5.0 out of 5 stars,Verified Purchase,A Wonderful Controller for a Wonderful System!,Richard H.
"Reviewed in the United States on July 23, 2018",201 people found this helpful,"I bought this thing because the joycons that came with my console started having issues that recalibrating was not fixing. I was so used to playing with joycons after a year of only using them. They were very comfortable as a controller in their own right, with or without the shell. I still want to get the joycons repaired or replaced someday when I get more multiplayer games/It took me a day to acclimate to the new controller, but it already feels just as, if not more comfortable than the joycons in the joycon shell. It's heavier but not uncomfortably so, it's comfortable to grip for a few hours of gameplay. Most of the buttons have decent feedback. The battery seems to be almost as good as the joycons were, I got mine last week and still haven't had to charge it since the first day.If I had any complaints, it's that the home menu and snapshot buttons are in an awkward location and don't have any good feedback, as they don't protrude out at all. I used to be able to take a video recording in the middle of a Splatoon game without getting pulled out of the action, but now it feels like I have to stop the action to reach the button.",5.0 out of 5 stars,Verified Purchase,I'd recommend this over buying more joycons or replacing existing joycons,Ryan
"Reviewed in the United States on April 11, 2018",196 people found this helpful,"I used my Wii U's Pro Controller so much that there is heavy wear marks on the analog stick hats.When I bought a Switch, I saw the price tag of this controller and thought it was ridiculous. A gamer friend chided me, telling me I'd eventually get the Pro Controller.I got a Mayflash NS adapter and tried syncing my XBox One controller and Wii U Pro Controller to the Switch. It worked, but the controllers either suffered from large analog stick deadzones, and/or incorrect neutral point settings on the analog sticks. In frustration I shelved the adapter and just used the Switch's side controllers with the included controller bracket.I have large hands so the Switch's side controllers were awkward to use. After about a week, I caved in and got this Pro Controller.As the same friend said: ""Nintendo sure knows how to make a good controller"". The fit, finish, and battery life of this controller is AWESOME. I've been binge playing Payday 2 with said friend plus another friend and even during long weekend gaming sessions, my hands aren't sore or cramped thanks to this controller's ergonomics.So is the price of this controller justifiable? In my case.... It was. But I gritted my teeth as I placed the order here on Amazon. As I've said in the past, Nintendo sure knows how to get me to open my wallet. I don't think you'll need this controller if the Switch is mostly played by children. But teens and adults may find the ergonomics of this controller too good to pass up.",4.0 out of 5 stars,Verified Purchase,So expensive....Yet so good!,Hawk eye
"Reviewed in the United States on January 28, 2018",164 people found this helpful,"This is fantastic. Bought so I could play Mario Kart with my 11yo on his new switch (joy cons + adult hands = no good, IMO) I let him figure out how to set it all up and he had it connected and working in less than a minute - so if an 11yo can do it, I suppose anyone can! We didn't bother with the directions. Definitely recommend for playing on the TV.",5.0 out of 5 stars,Verified Purchase,Great for adult Mario Kart Drivers!,Nicole R.
"Reviewed in the United States on November 28, 2017",92 people found this helpful,"I figured I'd be happy with the stock Joy Con controllers in the handle. My hands are smaller than most gamers, so it was relatively comfortable for me to use them, until I tried to play Mario Kart with my brother with the individual Joy Cons... Even my smaller hands aren't tiny enough to work them comfortably, and they aren't evenly matched since the buttons are sort of off kilter as a pair.I needed a second controller if I wanted to play properly with someone else. Enter this beauty! The Pro Controller instantly has a great feel right out of the box, with a nice sure weight that comes from its rumble pack and internal battery. It works great if you have problems using the smaller Joy Con controller in its handle accessory. The controller charges relatively quick, and pairing is easy with the console once you've plugged the charge cable into the Switch base at least once.My only beef with it is unless you have a special case that has room for a pro controller, its a pain in the butt to transport/travel with. Anything that touches any button or joy stick will activate it and kill the battery in it. I don't plan on traveling with it much, so for a home controller, it works perfect! Love it!",5.0 out of 5 stars,Verified Purchase,Feels Right in Your Hands!,Lynn Ledger
"Reviewed in the United States on March 27, 2019",36 people found this helpful,"Ayo I picked up this controller cause I'm a piece of garbage who won't settle for the basic black one, and it got me curious about the game itself so I checked it out and almost 200 hours in Xenoblade later I can fully say this controller is a right slammer. Works just like a normal pro controller, plus it's reddish pink. Now not only can I be more insecure about my masculinity, but all my friends who know what xenoblade is can judge me for liking such a weird-ass game. What more could you want. Unfortunately, I wouldn't say it's worth the upwards of 100 dollars that it's listed for. Just get a normal pro controller if you're not a picky pile of human trash like me, or just use the joycons; you're only playing smash anyways ya jackass and you suck at it to boot.",4.0 out of 5 stars,Verified Purchase,Spicy controller,Novel
"Reviewed in the United States on November 28, 2018",35 people found this helpful,"I bought my Switch last year for Christmas for me from my husband ♥️. I love playing the Zelda games.The Joy controls took a little getting used to. I don't hate them but I don't love them either. I definitely did not want a corded controller, so the Pro A or Horipad wasn't an option (I think that is what they are called) so I just got used to the Joy con controls. My husband has really big hands so he really has a difficult time playing with the Joy Cons. He doesn't play the Switch that often so it wasn't a big deal. I didn't realize the Pro Controller had come out until recently but I didn't really want to spend the money at the time. However, I just saw that it was on sale after I bought ""Let's go Eevee"" so I hit the buy it now button and I am really glad I did!!!! The controller is set just like a pair of Joy Cons so no trying to remember a new pattern. It fits very comfortable in my hands and my husband's hands. Similar in design as the Xbox and PlayStation controls (see photos for comparison) It has a more rounded feel opposed to the Joy Cons. It feels durable and the battery lasts...I played for two days, all day, while my foot was in a cast and it didn't die on me.So far I have played with it on BOTW, Mario Cart 8 and Fortnite. It is not compatible with Let's go Eevee, but there is the Pokeball plus for that. So overall I am very pleased with my purchase and I will probably get a second controller while it is still on sale.",5.0 out of 5 stars,Verified Purchase,Yep! This is what I wanted!,Little Fox
