postDate,helpful,reviewBody,starRating,verifiedPurchase,reviewTitle,name
"Reviewed in the United States on November 12, 2018","1,288 people found this helpful","This monitor is definitely a good value. Does it have superb color and contrast? No. Does it boast the best refresh rate on the market? No. But if you're tight on money, this thing looks and preforms great for the money. It has a Matte screen which does a great job at eliminating glare. The chassis it's enclosed within is absolutely stunning. It features a VGA and and HDMI port. The screen automatically detects signals and turns on when a source is turned on. When the selected source turns off it quickly scans and switches to any other sources. If no connections are available it goes into standby automatically. The power chord is a good 6 or more feet and easy to wrap with half of it being very thin wire. The ON LED is not distracting or too bright. When it's off it looks like a borderless monitor. And unlike what other people say it does have tilt, just not forward or left to right. It stands up straight or leans back. Unfortunately it doesn't have VESA mount holes, but under 100 you can't be that serious about your monitor setup. Small text has some problems fully rendering when using VGA so I recommend using HDMI. If you use the Windows 10 settings to configure how text is displayed though it fixes this, but not all will know how to do that. It doesn't have speaker, and I am thankful that most monitors don't. This monitor has A LOT of settings for gaming, night use, color adjustments, and general settings and all can be saved into 3 different gaming profiles. You can even change what settings appear in the quick menu. When u press any of the menu buttons, the menu pops up and clearly illustrates all the buttons. This monitors menus are super easy to understand and navigate and that's a rarity in its own. Also worth noting; it can display crosshairs and display the monitors current refresh rate. It also packs FreeSync for AMD graphics card users. If you only have DVI, you can get DVI to HDMI chords as long as your computer's video out supports it. The base and monitor couple together with one screw that features a hand flap so you don't need a screw diver if you don't want to use one. It is decently sturdy and the screen doesn't distort even when pressed on with strong pressure. The base is quite large, but wont be a problem for most. I haven't noticed any screen delay compared to my 300 dollar 1ms response time monitor (and I'm pretty picky). It's contrast is a little flat in some scenarios but appears much more dynamic in games, especially with some tweaking. With that said, I like that it looks flat when working on documents because it makes it much easier to focus.All in all, this monitor is filled with a good balance of features and looks like a very solid 1080p 75Hz IPS screen for any monitor under $160, let alone the $80 I paid. If you don't absolutely need a better refresh rate and aren't planning on spending more than 200 dollars then I would say just buy this monitor. It's durable, feature packed, and looks fantastic in all use-case scenarios. I'd give it 1000 stars if I could.",5.0 out of 5 stars,Verified Purchase,Absolutely Amazing Value - Some other features not even listed!,Joshua Rhine
"Reviewed in the United States on November 8, 2018","1,092 people found this helpful","I've seen many other reviews saying this monitor does not tilt, but it in fact does. I'm guessing people didn't take a close enough look at the hinge mechanism in the base, which attaches to the main display and allows for backwards tilt of approximately 15 degrees. The monitor is very light, thin, has small bezels, and produces reasonably good colors. It doesn't have a vesa mount, but I knew that before purchasing it, and wasn't planning to mount it. For $89, it is a great value.",5.0 out of 5 stars,Verified Purchase,This monitor absolutely does tilt,Seth
"Reviewed in the United States on September 2, 2018",692 people found this helpful,"Aside from my computer and PS4, this is probably one of the best things I've ever purchased. I use it every single day without error and everything always looks amazing. I'm a broke college kid and really needed something sufficient for PS4, homework, movies, everything really. I was torn between this and the HP pavilion and I have no regrets from picking this one! The screen is definitely big enough (perfect for having multiple pages open for homework) and is insanely vibrant and good quality for the price. I have absolutely no complaints, and even with a horrible $2 thunderbolt to HDMI cable for my Mac, it still looks absolutely amazing.",5.0 out of 5 stars,Verified Purchase,Probably one of the best purchases I've ever made.,Gergly
"Reviewed in the United States on September 3, 2017",998 people found this helpful,"I bought two of these and enjoy them quite a bit. A few reviews complain about ghosting, which I experienced until I realized in the default settings on the monitors had ""overdrive"" or ""OD"" on. As long as you disable this feature you will no longer have ghosting trouble! Hope this helps anyone who bought these and was disappointed, I saw nothing online about fixing this issue other than figuring it out myself by chance.",5.0 out of 5 stars,Verified Purchase,How to fix ghosting!,Rayna
"Reviewed in the United States on July 29, 2018",524 people found this helpful,"I just got this monitor few days ago and setting up literally took a minute. Colors are so vibrant and bright. Darks are good and brights are rich. I work in a IT field and I’ve seen and used a lot of monitors, this is by far the best I’ve used till date. I’ve only used vga and it’s already better than using hdmi in most of the monitors. I can only imagine what it would be after using with an hdmi cable. Its a steal for the price I got.",5.0 out of 5 stars,Verified Purchase,Probably the best monitor I’ve seen till now.,Sam A
"Reviewed in the United States on August 19, 2018",329 people found this helpful,"I very rarely write reviews, but am so disappointed with this monitor, that I felt the need to warn others. Originally bought this last year to use for school and work. After a few weeks, started having issues with it turning off and repeatedly blinking in mid-use, as well as dead pixels in the middle of the screen. Contacted Amazon, and they sent a replacement and I returned the original. Again, a few weeks of perfect operation. Then on the replacement unit, the power and menu buttons stopped working. The only way to turn on and off was to physically unplug the unit. Contacted Amazon again, and they referred me to the manufacturer. After several attempts, I finally got a hold of a person. They said they would look at, but I would have to ship it back on my own dime, and they would not replace it. I declined (mostly because I didn't have a box to pack it in, and was severely unimpressed with customer service).So I continued using it for several months with few issues. I stopped using it earlier this year, mostly because I got tired of the physical unplugging, and started using an old TV instead. Just now, went to fire it up again for my wife to use. After not touching or using it for the last few months, the screen is cracked in the middle, and as far as I'm concerned is unusable. And no, this is not a case of ""oops I dropped it and now I'm going to blame the hardware."" I have other Acer electronics, and have been for the most part satisfied, but this monitor has been nothing but problems. Would rate less than 1 star if possible.",1.0 out of 5 stars,Verified Purchase,Extremely Disappointed,George M McColgan
"Reviewed in the United States on August 7, 2018",270 people found this helpful,"I am somewhat satisfied with my purchase. The price was great, and looks great too. Easy to assemble. Came with vga and power cord. Colors look amazing, no annoying power indicator lights. The options menu is very easy to navigate. I didn't want to do this, but I had to dock a star as it lacked the ability to tilt. It's at a permanent position so I'm gonna have to stack an extra book below to go the position I want. Otherwise, 10/10",4.0 out of 5 stars,Verified Purchase,"No tilt, but great value",Henry
"Reviewed in the United States on August 31, 2018",232 people found this helpful,"Read over the reviews at least 10 times weighing the pros and cons but I decided to go for it and I'm glad that I did! Like others stated, it took maybe 5-6 minutes to unpack and get up and running. I wanted a larger screen to use when I work from home as my 10 inch laptop keeps me squinting and bending over. The monitor is SUPER lightweight and very sleek. It comes with the VGA cord but no HDMI cord, luckily I have several laying around the house. I did have to prop it up a bit in the front since there is no tilt option, but that wasn't a deal breaker for me. I use this for basic internet and word processing, no gaming or watching movies and it's been working great for me!",5.0 out of 5 stars,Verified Purchase,"Yup, it's a Keeper",kierysma
"Reviewed in the United States on September 4, 2018",203 people found this helpful,"This is a basic, no frills, monitor with a beautiful picture & well deserved reputation for lasting a long time. No built in speaker, get a different model if that is what you want. Not for the novice, as the only usable instruction is ""turn off computer before installing"". There are 5 buttons on the bottom edge of the monitor, but pictograms are useless. But, don't worry; after you make all connections & power up the computer & monitor, the monitor checks connections & automatically picks the correct settings for you. If you have an HDMI connection on your computer (preferably on the back panel), use that instead of the VGA cable to get the best quality picture. (You must supply the cable.)",4.0 out of 5 stars,Verified Purchase,Great quality screen for the money,N. Myers
"Reviewed in the United States on August 10, 2018",186 people found this helpful,"You can't really expect much from a monitor that is less than $100, but this is a great monitor for everyday use. The only reason I give it 4 our of 5 stars is because there is no way to mount this on a wall or versa mount. Other than that, great clarity, color and size for the price point. I will be finding a way to mount this on my versa mount as looking down on a monitor is not conducive to prolonged use.",4.0 out of 5 stars,Verified Purchase,"Great Price, Decent Quality",Edward Castro
