postDate,helpful,reviewBody,starRating,verifiedPurchase,reviewTitle,name
"Reviewed in the United States on November 29, 2018",947 people found this helpful,"First red flag was when I looked underneath the card. Instead of being solid black like every other SD card I've seen, it looked like a green circuit board with a strange black square on it.Second red flag was the MUCH lower than advertised read/write speeds (only 50-55 write with mid 80s read).Third red flag was when I tried to copy data from my old sd card on to this one. I was able to get about 21.5 GB of data on to it until it unmounted itself from my computer. I then physically removed the card and inserted it back in the computer. Windows recommended that I repair the drive, so I did. After that, I go and try to copy the data again and it unmounted itself, just like before. I tried the same thing by repairing the drive, except this time, Windows informs me that it could not be repaired! Seriously??So much for trying to get a good black Friday deal...",1.0 out of 5 stars,Verified Purchase,Either fake or defective,Larry Lopez
"Reviewed in the United States on March 2, 2019",610 people found this helpful,"This review is specifically for the item SanDisk Extreme 128GB microSD UHS-I Card with Adapter - 160MB/s with SanDisk MobileMate USB 3.0 microSD Card Reader. My card was shipped from and sold by Amazon.com. The top review for this card would have you believe the product I received, based on physical appearance, is fake. The speed tests and H2testw program appear to indicate it achieves the advertised speeds and has the correct capacity using the bundled USB 3.0 card reader in a USB 3.0 port on my desktop Windows 10 PC.If this card is somehow ""fake"" it is quite impressive. I'm sure there are some fakes out there, but if you do decide to buy this card it might be worth performing your own tests before deeming it fake based off the looks alone (assuming it's not an incredibly obvious fake).April 18, 2020 (13 month update): card still works great. No complaints, I'm very happy with it.",5.0 out of 5 stars,Verified Purchase,Legit card. Legit fast.,Mike
"Reviewed in the United States on October 14, 2018",539 people found this helpful,"SanDisk advertises this as the fastest read UHS-I in the market (160mb)! Multiple tests on the 128GB don't confirm this claim. I tested the card on my Surface pro (2017), Surface GO and XPS 13 and got only 88mb read speed and 84 write speed at best!! My Samsung Evo select 128GB & 256GB have higher read and write speed.",2.0 out of 5 stars,Verified Purchase,Advertised read speed is false!,Amazon Customer
"Reviewed in the United States on May 30, 2019",319 people found this helpful,"Anyone claiming that the green backed microsdxc cards are fake needs to do better research. In all of Sandisk's marketing, they show a green backed microsd with the ""XC"" instead of ""HC"". In all reviews from reputable websites show the same.Secondly, anyone complaining about how there is missing storage doesn't understand how marketing of high capacity storage media works. They calculate size based on 1000 kilobyte per megabyte not 1024 kilobyte per megabyte. If you bought the 128GB model, your device would see it as 119GB because your device calculates it as 1024KB per 1MB. It's been done this way for decades.Here's a list of most of the capacities that SanDisk sells with their corresponding ""actual"" size.32GB = 29.8023GB64GB = 59.6046GB128GB = 119.2093GB256GB = 238.4186GB400GB = 372.529GB1TB = 931.3226GBWhen you buy a hard drive, you also don't get the full capacity for the same reason. This isn't just SanDisk.Third, the speeds of the card are ""UP TO"" x and y read and write. It's highly dependant on what device you're using it in and even then, those are burst speeds, it's not intended to sustain that speed for longer than a few seconds.It's really sad to see an incompetent reviewer up at the top spot when this is a genuinely high quality product.",5.0 out of 5 stars,Verified Purchase,"No, you didn't receive a counterfeit product.",T. Boyle
"Reviewed in the United States on October 2, 2018",474 people found this helpful,"I have several mini memory cards from last year and none were fast enough for the new Dji Mavic Pro 2 or the ZOoom. There was even a warning that popped up on the GO 4 app that will say SLOW where the sd card info is. After installing the Sandisk Extreme U3 A2, the SLOW warning disappeared and all is well. Havent been able to use as the weather here in the great Pacific NW has been rainy but once the sun comes back I am flying!***Update October 21st, 2018***I ended up installing the microsd in my new Moto Z2 Force Smartphone right after the review, since the weather for flying the drone won't be nice again till next year. It worked awesome in the Moto for over a week until it died and said it became corrupted. I had many photos and videos that were transferred and lost. Called and emailed support and was asked to jump through hoops so am not very happy about the card and experience with it. Will be buying a different brand and hoping for a better ending.",1.0 out of 5 stars,Verified Purchase,SanDisk 64GB (3) A2 Corrupted itself after week of light use!,DagDerNiT
"Reviewed in the United States on December 11, 2018",254 people found this helpful,"Like many of the other reviewers pointed out, this card is fraudulent. ""U3"" and ""A2"" my ass! The read/write speeds are nowhere near the advertised values. I'm getting 74/66 MB/s which is worse than my Samsung 128GB U1 microSD. Non-sequential writes are awful at 6/2 MB/s. $30 might seem like a good deal for this card but it's not. Don't be fooled!",1.0 out of 5 stars,Verified Purchase,Lies about speed,E. L.
"Reviewed in the United States on November 30, 2018",165 people found this helpful,"The built-in SSD disk space is extremely expensive on the Surface Pro 6, so getting the smallest Surface Pro 6 and using a microSD card to complement the built-in storage is an attractive option in my opinion.The good thing is that this card performs well when inserted in the microSD card reader of the Surface Pro 6 (about 80 MB/s sequential read, 80 MB/s sequential write) although it does not reach the advertised speed (which is ""up to"" 160 MB/s sequential read, 90 MB/s sequential write).As I believe the UHS-1 standard is limited to 104 MB/s anyway I am not sure if it is possible to find microSD cards that would perform faster.In short a good choice for the Surface Pro 6 even if possibly not the best choice.",3.0 out of 5 stars,Verified Purchase,Fast enough to use as extra storage on Surface Pro 6 but not as fast as expected,Gabriel
"Reviewed in the United States on September 30, 2018",158 people found this helpful,"Replaced a 64GB memory in my Galaxy S9+, of the same brand just not extreme.Now my phone has more storage space than my two best laptops... of course you know, I will buy more.This, so far, is the holy grail for portable storage... this has more memory than the SSD in my ThinkPad W530 workstation... blows my mind. As far as quality goes, you can't beat SanDisk, they been around since the beginning in the SD card arena.This little tiny thing, is so tiny, I could put it up my rear end, after filling it with days worth of videos and unending images... doubt I will never need this much room but... I like to record a lot. This thing pretty much turned my lowly cell phone into an absolute powerhouse.",5.0 out of 5 stars,Verified Purchase,A Miniature Storage Behemoth,Amazon Customer
"Reviewed in the United States on July 2, 2019",102 people found this helpful,"""1TB Micro SDXC Memory Cards"" have been sold online for a handful of years now, by companies with strange, made-up-sounding names like Jojlon, Winston, or Krrttphfff. However, until the SanDisk 1TB Micro SD hit the market this year, every single one of those sellers advertising a 1TB Micro SD card were lying. If you read the comments section of those items (yes, you can still find the bogus, scamming, way-smaller-than-advertised micro SD cards being sold on this website TODAY!) you will see them filled with dissatisfied customers, claiming they were gypped and posting the screenshots of their benchmark software results to prove it. Now, because of this storied history of scammers specifically using this website, and other like it, claiming to sell high-capacity microSD cards, but in reality hocking crappy cards made in China that are, at best, 1/10th the size of what they claim to be, I suspect that a large numbers of the tech-oriented crowd will come across the item in question today: the SanDisk 1TB Extreme microSDKC UHS-I Memory Card (C10, U3, V30, 4K, A2... blah blah blah blah). If a significant percentage of the people who consider purchasing this item get cold feet and back out, due to the aforementioned rampant scamming occurring at the hands of sellers advertising *VERY* large capacity microSD cards, THAT WOULD BE A SHAME!I had significant doubts about the product myself, due to my calculation that there was a high probability this was yet another scam by online rip-off artists. However, I reeeeeeally needed a microSD card bigger than 512GB, for my cell phone. I have juuust about 650GB of high-res music (a lot of DSD files, for example) which I like to carry around in my phone, and this meant that, for me, the highest-capacity-microsd card-available-to-date, the 512GB, simply wouldn't cut it. I saw the 1TB SanDisk appear on Amazon a week or so ago, but it was not yet available for purchase. Then, a few days ago it officially became available for purchase, and I immediately paid the $450 and, thanks to Prime, selected FREE One-Day Shipping for it.The next day, after I received it in the mail, I immediately put it in the USB adapter it came with, plugged it in to a USB 3.0 slot on my laptop and oppened CrystalDiskMark6, followed by ATTO Disk Benchmark, and, one by one, tested the capabilities of this microSD card. The card's manufacturer claimed 160MB/s read speeds, and 90MB/s write speeds. I guessed the card would not live up to those claims, as in my experience cards almost never live up to their manufacturer's claims about their capabilities. So what were my results? You can check them out yourself from the pictures I uploaded.First, the CrystalDiskMark6 tests:At the 50MB size and 1GB size for the test file, for reading speed the card actually reached the manufacturer's stated speed (nearly), and then outperformed that speed on the second test, while on the writing test the card excelled above the manufacturer's advertised speeds. Specifically, during the Seq Q32T1 test, the card Read speed was 147.2MB/s and 166.1MB/s for the 50MiB and 1GiB test file sizes, respectively. The Write speed was 103.4MB/s and 104.6MB/s, respectively! That's a shock, for me, I was NOT expecting a card to actually live up to, and then SURPASS a manufacturers claims.NOTE: the third CrystalDiskMark6 test results are much less impressive. ""What happened there?"" you might ask. Well, if you take a close look you'll see the test file size in that case is 32GB. Thats GIGABYTES. 32GB is the largest test file size the program can do, its maxed out at that point. Considering the mechanics of how microSD cards work, the concepts of allocation unit size, etc, its no surprise at all that the card failed to perform well with a test file size of 32GB. MicroSD cards were simply not meant to be used as devices with allocated unit sizes of such a significant size. Its an unrealistic and useless test, that does not help convey any relevant information about the product. I only included it to show the full range of test results obtained from both extremes and the average of the variables available for users of CrystalDiskMark6 to alter.Second, the ATTO Disk Benchmark test results. Above I have listed sequentially the transfer rate results for the card with test file sizes of 64MB, then 128MB and 256MB, all expressed in bytes, and the transfer rate results for the card with test file sizes of 64MB, then 128MB and 256MB expressed as inputs and outputs. Again, we see that the card, at its best, is able to consistently reach Read speeds of approximately 160MB/s, and, I'm happy to report, Write speeds consistently touching 100MB/s! Or VERY close to it, anyways. The point is its significantly above the stated 90MB/s claimed by the manufacturer.All in all, I'm happy. After testing the card and putting it through the proverbial wringer I feel it lives up to and surpasses my expectations in terms of its performance and capabilities. I have now put about 600GB of data, mostly music files, onto the cards and it works flawlessly so far. I have not yet had any issues with file corruption, and the item seems to be durably manufactured. It also comes with a free backup/rescue program download, called RescuePro Deluxe, so that's a nice addition.TAKEAWAY: If you have the need for a microSD card larger than 512GB, and you can afford the $450 sticker price, GO FOR IT.You can keep an eye on this review, if I have any problems with the card in the future I will add my critique at the bottom as an ""EDIT:""",5.0 out of 5 stars,Verified Purchase,"The Only Legit 1TB Micro SDXC Card on the Market, and Best of All, It's Up To Spec",jbain
"Reviewed in the United States on October 29, 2018",144 people found this helpful,"Read/write speeds were 70/50 mp/s on my S9. Much slower than the max of 160/90. Opted for the Extreme Plus instead, more expensive but read/write speeds are 100+/80",3.0 out of 5 stars,Verified Purchase,Read/write speeds 70/50 mb/s,Asad A.
