postDate,helpful,reviewBody,starRating,verifiedPurchase,reviewTitle,name
"Reviewed in the United States on October 30, 2019","6,757 people found this helpful","Like iphone 11 Pro, Macbook Pro, Airpad Pro; the ""Pro"" denotes a higher end product.Compared to the Airpods (version 2) highest end model (with wireless charging case*); the Airpods Pro is $50 more MSRP.Compared to the non wireless case version it's $90 more*Airpods Pro does have wireless charging case by default. Only one version.Let's go through the differences1. Physical Appearance:Shorter Stem, but larger bud or headThere's a large black airflow grillA mic inside and outside the AirpodsCase is same thickness, a lot wider, but shorter. Still uses lighting cable to charge, but it does come with a lighting to USB-C cable2. In-ear, instead of on-earIf your ear has a small cavum and the original airpods fit perfectly, then the Airpads Pro may be a tight fit/more uncomfortable, but seeing the in-ear design, the ear piece will go into the ear canal and the rest will float in place.Those with normal or larger cavum it'll fit well.Some may not like the ear piece going into their ear canalThese ear phones are more for a closed environment than an open oneSeeing that it's an in-ear design, you may feel this hollow air effect going on unless you turn on transparency mode (more on this later) or play music with active noise cancelling onSeeing that it's in-ear, it has a tighter grip, better for joggers, those who shake their head around a lot for some reason, or if you run up stairs often. If you have an intense workout regimen and/or do extreme sports and not mindful it still can fall outThere's a Ear Tip Fit Test on app. There's several ear tips in box. When you turn on this feature in app it'll calibrate and suggest what ear tips are best listening experience for youIf you lose the tips or get them dirty overtime, you can go to the Apple store and get replacement pair for around $4 or get cheaper 3rd party ones when they come out3. Squeeze instead of tapInstead of tapping on the earbuds, you are pinching or squeezing the stem.1x to play, pause, and answer calls2x to skip forward tracks3x to skip back tracksPress and hold to switch between active noise cancel and transparency modeStill able to say ""Hey Siri"" to do voice commands/adjust volume anytimeNo physical volume controls on buds4. Battery lifeBattery life varies depending on how far away you are from the device and volume you set. Battery depreciation over time. These are just rough estimatesPro in general has 4.5 listening time with active noise cancelling or transparency on. Airpods version 2 has 5 hours. Note Airpod version 2 does not have active noise cancelling or transparency mode. You can get 5 hours with noise cancelling and transparency off, but most likely you're not going to unless you're really desperate for batteryPro has 3.5 talk time. Airpods have 3 hoursCase both old 24 hours battery lifePro: 5 mins in case = 1 hour talk or listen time. Airpods 15min in case = 3 hours listen, 2 hours talk5. Water/sweat resistantNow you can go to the gym and do cardio with them on.As mentioned before, tighter grip seeing that it's in-earMay survive light rain. Do not recommended going in the shower or dunk in the pool with it though 6. Active noise cancellation, Transparency modeAirpods pro has 3 modes: Active noise cancellation, off and Transparency modeActive nose cancellation tries to block out outside noise while listening to music. I'd say it drowns out may 70%. If you focus to outside or aren't focused to music; you still may be able to pick out what's going on, but in general it does it's job.Off is just like the standard in-ear headphones, but with the hollow air sound when no music is playingTransparency mode. The black airflow grills let in outside sound so you're able to hear both outside sound and music same time. Think of it as open ear headsets.Unlike some in-ear headsets the black airflow grills prevent you from hearing yourself in your head when you talk7. Sound QualityBetter than the previous version seeing the active noise cancelling and in-ear with more focused sound direcly into your ear canal. It's not $250 audiophile quality sound. Better quality sound in lows and mids compared to non-pro version. If you ever tried the Power Beats Pro, it sound very similar to thoseYou can hear callers better in a noisy environment and less likely raise your voice--Conclusion:Other than that, all other features are the same. Meant to be used on Apple devices. Very good ease of use for Apple users, and is in-style these days (shows social status). Sound quality is better that the non-PRO version, and you do get noise cancellation. There are other headphones that do it better sound in this price range, but may not be as convenient with pairing to Apple devices.",4.0 out of 5 stars,Verified Purchase,List of Features/Changes compared to Airpods (v2),Vincent
"Reviewed in the United States on October 31, 2019","4,104 people found this helpful","With the new transparency mode, I can listen to music knowing that I will never be ran over by a car on the street again. Another W for Tim Cook and the boys",5.0 out of 5 stars,Verified Purchase,Saved my marriage,Jorge Moran
"Reviewed in the United States on October 30, 2019","2,920 people found this helpful",They fire,5.0 out of 5 stars,Verified Purchase,Lit,Jon
"Reviewed in the United States on November 2, 2019","3,120 people found this helpful","Love Apple products but I’m tired of their gamesWith the iPhone 11 they introduced the new charging end (not the one that goes into the phone, the one that plugs into the cube then into the receptacle).The AirPods pro comes with the same cable but no cube. This means if you don’t have an iPhone product you can’t charge these period. And the charging wire it comes with is worthless unless you’ve already bought an iPhone 11Apple charges a ridiculous premium for their products. They should back it with the proper hardware",3.0 out of 5 stars,Verified Purchase,Apple forgot to pack a few components,BTR
"Reviewed in the United States on November 2, 2019",850 people found this helpful,"These earphones are top of the line.Here are some Highlighted FeaturesThey HaveIPX4 rated to resist sweat and water, making them ideal for sports and exercise.Internally tapered tips conform to your ear shape while vents help equalize pressure for maximum comfort.Active Noise Cancellation continuously adapts to the geometry of your ear and the fit of the eartips to keep you isolated from the world around you.Press and hold the force sensor on the stem to switch between Active Noise Cancellation and Transparency Mode, which allows outside sound in to keep you aware of your environment.Expanded mesh microphone port increases call clarity in windy locations.H1 headphone chip features 10 audio cores for low processing latency and real-time noise cancellation.Bluetooth 5.0 for reliable, high-quality reception.Automatically on, automatically connected.Voice-enabled access to Siri.Audio Sharing enables you and a friend to enjoy the same song or movie by simply bringing a second pair of AirPods close to your iPhone or iPad.More than 24-hour battery life with charging case",5.0 out of 5 stars,Verified Purchase,"Authentic and Beautiful, Love these way more than ever expected They are Great earphones",J.G.
"Reviewed in the United States on November 2, 2019",788 people found this helpful,"Wow! I never liked the original air pods. They always fell off. I’m so glad Apple came out with these and that I waited to splurge on headphones. The sound is beautiful, the fit is perfect. I literally just got these out the box and I fell in love! I have always been an Apple product lover. Well worth the wait!",5.0 out of 5 stars,Verified Purchase,WOW,Kaner88
"Reviewed in the United States on November 2, 2019",532 people found this helpful,"So I will say I'm never wearing my bose 700's out in public (other than planes and other modes of transport that are too loud for the small in ear noise cancelation the Airpods pro have) there just too bulky and, but these new airpods are just so sleek and convenient, I'm an audio nerd if you want convenience these are probably the best buds to buy right now. Obviously sound could be better but for what you get I'd say it's worth every penny.Seif Afyouni.",5.0 out of 5 stars,Verified Purchase,Pro,Bader af
"Reviewed in the United States on November 13, 2019",374 people found this helpful,I’m gonna start off saying that the noise canceling is amazing ide rate 10/10. Where the problem is is after wear for 3 minutes it begins to hurt my ears dramatically. I tried every tip and none of them work. It seems to be the design of the earbud itself. I’ve personally loved all of apples products but I think they should have worked a little harder on this one. I’ve done research and I’m not the only one experiencing pain. There is thousands who say the same thing. The original AirPods are great and feel amazing in my ears where sometimes I forget I’m wearing them. If you have normal AirPods I would say your better off just using them.,1.0 out of 5 stars,Verified Purchase,Hurt really bad. DO NOT BUY,Ben
"Reviewed in the United States on November 28, 2019",270 people found this helpful,1 of them only lasted 3 days and then this happened. Call support and they said to return them.,1.0 out of 5 stars,Verified Purchase,Red Exclamation Already,Kosmo
"Reviewed in the United States on November 1, 2019",210 people found this helpful,"They feel a lot snugger, 100% worth it.",5.0 out of 5 stars,Verified Purchase,Definitely worth the upgrade,Jacob Hurley
