helpful,name,postDate,reviewBody,reviewTitle,starRating,verifiedPurchase
416 people found this helpful,Royal Poinciana,"Reviewed in the United States on April 2, 2021","This was published in 2021? Really? We're not past this nonsense yet?Sigh.Here's the short, spoiler free version of this review: The Next Wife has decent writing competency for the genre (this isn't an insult, by the way), acceptable plot... and really insulting stereo types.Now, abandon all hope of avoiding spoilers, ye who continue reading...Stereotype problem #1: The WomenApparently, women are the worst. They are conniving witches with a ""b"" who conspire to trap and/or murder poor, innocent, wildly wealthy men who are just trying to have their entitled midlife crisis in peace.I understand that suspense stories, by their very nature, feature bad people and unlikeable characters. That's a feature, not a bug. But the cliched pitting of all female characters against each other is tiresome. They don't all need to compete over the same rich man. It's dull. He is not that special. He's just some boring rich dude.Stereotype #2 (LOOK AWAY THERE ARE SPOILERS HERE): Abuse Victims Become Sociopathic MurderersThis one really makes me want to smash something. Authors, do NOT do this. Do NOT make childhood abuse victims who defend themselves from their abusers into people who, later in life, basically commit murder just for fun and cash. This is lazy and insulting to abuse victims. You're creative; you can do better.Stereotype #3: The Poors Are Out to Kill YouMy lord, can everyone stop using this? Every non-rich person in this book is a conniving, lying, untrustworthy, and murderous piece of garbage. AND they're probably southern! Yikes!Sure, some of the Richie Rich types are murder-y, too, but at least they have taste and style and aren't disgustingly yucky and poor.Conclusion:I love suspense novels. I love unlikeable, bad-people characters. But I'm heartily sick of these lazy characterizations of women and poor people and abuse victims. Do better, authors and publishers. It's 2021.",The perfect book if you despise abuse victims and poor people,2.0 out of 5 stars,Verified Purchase
155 people found this helpful,Camille,"Reviewed in the United States on April 2, 2021","I chose this as my monthly Amazon free book. I only got a couple of chapters in, and I had no interest in finishing it. The main character was just far too obnoxious, self-absorbed and catty for my taste. I didn't want to put up with her for however many more pages. There's a way to create a protagonist who isn't likable but also inspires you to keep reading. This was not the way. I'm an avid reader, and I can count on only one hand how many books I refuse to finish. This book has now been added to that hand. Not worth my time or effort to read. I regret choosing it as my monthly book.",I couldn't finish it...,1.0 out of 5 stars,Verified Purchase
117 people found this helpful,Kindle Customer,"Reviewed in the United States on April 1, 2021","Not sure - am I supposed to hate the main character here? I certainly hated her nasty personality, and the meanness of her description of the ""first wife"" and her stepdaughter (who she used to babysit, so I would probably hate that too if I'd kept reading. But I couldn't. Just couldn't.",Could barely get past the first page,1.0 out of 5 stars,Verified Purchase
78 people found this helpful,Schwabcycler,"Reviewed in the United States on April 1, 2021",Gosh awful narrator. Sorry. In its favor I could only stomach 3 pages. It must be me but the book was free.,Yuck,1.0 out of 5 stars,Verified Purchase
58 people found this helpful,Judith D. Collins,"Reviewed in the United States on April 1, 2021","I adored THE NEXT WIFE —a deliciously evil cat-and-mouse twisty game between the first wife (Kate), and the second wife (Tish), and the daughter (Ashlyn). John (husband) does not have a clue what he is in for!Let the power play games begin! One wife is street smart, the other is business smart. Which one will win in the end?Gosh, I would LOVE to see this play out on a TV series or movie. I can see Billy Bob Thornton (Goliath-love this show) as Tish's attorney (Uncle George Price) and must think on who would make the best star for Bob, Kate's attorney, as well as for Kate, Tish, John, and Ashlyn.Kate has the brains and she and hubby have built EventCo from the ground up. They started the company fifteen years ago and it has grown to become one of Central Ohio's most prominent and well-respected companies. From party planning, events, supplies, tickets, they have it all and now they are going public. They have worked well together for years, but now there is some tension.Around three years earlier, John (CEO) a little bored with his life, a wife who works all the time, and problem daughter, goes through a mid-life crisis and turns to his gold-digging, psycho, manipulative administrative assistant (Tish) from Kentucky (twenty years younger).Growing up poor, with a troubled childhood, Tish wants to grab a rich man and live the good life and to hell with whom she destroys along the way.Soon John loses his mind and falls for the gold-digger, materialistic woman, and heaven forbid marries her. They have the big house in Ohio, and also one in Telluride and Ponte Vedra Beach, FL (yes, I lived there too, and forgot your mom does, Kaira, nice play).Tish tries to come between first wife and daughter, but she really is too selfish and self-centered to care about anyone but herself. This IPO thing has gotten John stressed and he begins turning back toward Kate. He did not realize what he had. But will his wife have him back?Kate will allow no one to destroy her company and will do anything to protect it. She has her own plan.John, Kate, and Ashlyn are sneaking in texts and secret meetings because Tish is very jealous. She monitors his every move. She cannot have anyone taking up John's time. She is much younger and thinks she is the center of his world. She is a piece of work and Kaira has the best one-liners.However, now she feels she is losing him, and threatened. Always checking his phone, and watching his every move, so she will not lose him back to his first wife. Now the daughter seems to be on the mom's side.So she decides to whisk him away to Telluride to their condo for the weekend. John does not have time and she pressures him with a romantic weekend. John has some heart problems and the altitude and stress he has been going through during the IPO and his high blood pressure, may not be in his best interest.But Tish has a plan. This plan will not be in John's best interest. Better watch those margaritas!John does not want to cause a scene and if he can just wait until they leave and he gets back to the office, then he can get rid of Tish. But Tish has something else in mind. No one crosses her with the help of her sleazy attorney.However, Tish does not know what Kate (the first wife is capable of). Never underestimate the first wife.What FUN! Between Tish, Kate, and Ashlyn, these three women will make you laugh out loud. What a wild ride! The Nelson women are ready for a fight. Which one will win in the end? I loved the smart house, app, and how Ashlyn screws with Tish.Kaira Rouda's books are always highly entertaining and she always has some tricks up her sleeve but leaves some hints along the way. I could not put this one down and plan to lose sleep. Her characterizations and their thoughts are off the chart bloody good.Cleverly written, Rouda fans will devour this one and new fans alike. I have read all her books and each is a heck of a wicked devious ride! Move this to the top of your list. You are gonna love it. #JDCMustReadBooks","As always, no one does diabolical, dark humor, & narcissistic characters better than KAIRA ROUDA!",5.0 out of 5 stars,Verified Purchase
47 people found this helpful,Cid Herman,"Reviewed in the United States on April 2, 2021","WELL. ...that was disappointing!THE NEXT WIFE was a truly disappointing read for a number of reasons. First, and most importantly is the shallow plot. There isn't a lot going on here, other than the petty internal thoughts of some stereotypical ""mean girls"". There are only three main characters and there is very little to distinguish them from each other. They all act like spoiled entitled brats with very little to endear them to the reader. When you don't like anyone, it is hard to relate to them, or even care what happens to them.There is very little action in the story. Most of it is revenge fantasies and musings that take place in the minds of the juvenile characters. Not a lot happens here, and what does, is contrived and entirely too coincidental.Last point: this book, and stories like it perpetuate unflattering stereotypes about women, their relationships with each other, their dependency on men, their lack of intelligence, pettiness and a whole host of others.Stear clear of this one!",Steer clear of this one!,2.0 out of 5 stars,Verified Purchase
27 people found this helpful,Tabby2018,"Reviewed in the United States on April 4, 2021","I loved Best Day Ever, so was very excited to see this as a Prime choice for free this month. I eagerly dove in ... and quickly regretted it.I love satire, parodies, wicked characters, and humor ... when done well. This story and the characters are so cliched, so predictable, so silly, so eye-rolling, so cringe. The scenes are outlandish, the dialogue embarrassing. It’s not ironic, it’s not sarcastic — it’s a beat-you-over-the-head with the obvious, page after page. And character development? Look elsewhere, there’s none here ... these “people” are nothing but seething envy, anger, resentment, hatred, and viciousness disguised as characters. They do nothing in the entire book except try to destroy each other, soap opera style. I didn’t care what happened to any of them. Why would I? They’re cardboard cutouts straight from the TV show “Dynasty”. All that was missing was a ‘hair pulling fight and tumble into the swimming pool while wearing diamonds and ball gowns’ scene. At least that show was campy fun.I did finish it, though, and am mad at myself for wasting the time. I wish I’d chosen the other book I was looking at instead. I can’t figure out the author’s motivation for writing such a ridiculous book. This story is as old as the beginning of time: women fighting over a man. Yawn. And now I’m not going to waste another minute on it, so will just say: don’t bother, even for free.",Zero Stars,1.0 out of 5 stars,Verified Purchase
23 people found this helpful,Tracy,"Reviewed in the United States on April 1, 2021","Started off a little strange. Not how I was expecting. But the author did a good job with the disgusting personality of Tish. Hated her from the get go.Was surprised at the character arc so early in the book. Thought the rest would be just eh. Oh no, nothing eh about it.So many twists and turns had me not just second but triple guessing myself. The constant change in power play made it hard to put the book down.So of you're like the others that after the first 10 pages think eh, keep reading. It's worth it.",Lost track of all the twists and turns,5.0 out of 5 stars,Verified Purchase
22 people found this helpful,AMNB,"Reviewed in the United States on April 1, 2021","If there is ever a book to read in a sitting! No one is to be trusted. Everyone has an agenda. You'll just love to hate these characters. If you love the infighting of the Real Housewives, buckle up, the women in THE NEXT WIFE know no bounds. Rouda's BEST NOVEL EVER.",Kaira Rouda's BEST NOVEL EVER!,5.0 out of 5 stars,Verified Purchase
10 people found this helpful,Avid Reader,"Reviewed in the United States on April 4, 2021",Terribly written book. The plot is completely contrived and has so many holes in it. I had to suspend belief several times and it still wasn’t compelling or suspenseful. DO NOT WASTE YOUR APRIL READ ON THIS,Skip it!,1.0 out of 5 stars,Verified Purchase
